Longitude,Latitude,name
-39.337972,-8.076861,Cenostigma pyramidale
-39.183333,-11.5,Cenostigma pyramidale
-37.863778,-9.979444,Cenostigma pyramidale
-37.515,-9.584722,Cenostigma pyramidale
-38.889305,-7.651888,Cenostigma pyramidale
-37.344444,-5.191944,Cenostigma pyramidale
-37.106111,-8.290556,Cenostigma pyramidale
-38.112778,-8.588889,Cenostigma pyramidale
-37.437575,-8.107002,Cenostigma pyramidale
-38.708056,-6.700833,Cenostigma pyramidale
-37.533333,-8.110556,Cenostigma pyramidale
-38.913725,-6.714408,Cenostigma pyramidale
-38.963889,-6.858611,Cenostigma pyramidale
-38.873333,-6.604444,Cenostigma pyramidale
-37.893055,-7.244722,Cenostigma pyramidale
-39.516667,-12.766667,Cenostigma pyramidale
-37.684167,-9.805278,Cenostigma pyramidale
-38.567075,-9.4371,Cenostigma pyramidale
-38.55694,-10.17556,Cenostigma pyramidale
-47.566667,-13.55,Cenostigma pyramidale
-38.395386,-8.794227,Cenostigma pyramidale
-38.5425,-7.175278,Cenostigma pyramidale
-37.110994,-10.265469,Cenostigma pyramidale
-37.534167,-10.549444,Cenostigma pyramidale
-37.320278,-10.325833,Cenostigma pyramidale
-37.819967,-6.670133,Cenostigma pyramidale
-38.191472,-8.666805,Cenostigma pyramidale
-39.56,-9.140556,Cenostigma pyramidale
-37.438056,-11.268611,Cenostigma pyramidale
-38.653056,-7.232778,Cenostigma pyramidale
-34,-7,Cenostigma pyramidale
-38.568916,-6.996833,Cenostigma pyramidale
-39.057222,-9.231111,Cenostigma pyramidale
-39.796389,-12.744167,Cenostigma pyramidale
-39.057222,-9.064444,Cenostigma pyramidale
-36.245278,-7.361667,Cenostigma pyramidale
-37.620556,-11.146944,Cenostigma pyramidale
-38.174444,-6.961389,Cenostigma pyramidale
-38.058777,-9.143527,Cenostigma pyramidale
-39.907888,-7.962361,Cenostigma pyramidale
-38.737972,-8.805972,Cenostigma pyramidale
-35.598333,-50.672222,Cenostigma pyramidale
-39.767222,-7.987222,Cenostigma pyramidale
-37.950722,-8.516694,Cenostigma pyramidale
-37.620216,-8.829722,Cenostigma pyramidale
-40.040833,-8.372139,Cenostigma pyramidale
-39.751667,-8.250833,Cenostigma pyramidale
-38.599167,-7.1,Cenostigma pyramidale
-37.582222,-8.949167,Cenostigma pyramidale
-39.600833,-8.561583,Cenostigma pyramidale
-38.459711,-8.450869,Cenostigma pyramidale
-39.353944,-8.257361,Cenostigma pyramidale
-37.529758,-7.802261,Cenostigma pyramidale
-37.024167,-8.115278,Cenostigma pyramidale
-38.77063,-7.64158,Cenostigma pyramidale
-39.06525,-8.061166,Cenostigma pyramidale
-40.298694,-7.880888,Cenostigma pyramidale
-37.725008,-8.56108,Cenostigma pyramidale
-38.069838,-8.002988,Cenostigma pyramidale
-37.059919,-8.206063,Cenostigma pyramidale
-37.164167,-9.550278,Cenostigma pyramidale
-38.1625,-8.139722,Cenostigma pyramidale
-38.081389,-8.19,Cenostigma pyramidale
-37.304167,-8.3775,Cenostigma pyramidale
-40.045,-8.043333,Cenostigma pyramidale
-37.535833,-8.536667,Cenostigma pyramidale
-39.304883,-8.175127,Cenostigma pyramidale
-40.262786,-8.506947,Cenostigma pyramidale
-37.421611,-10.107056,Cenostigma pyramidale
-39.266667,-11.766667,Cenostigma pyramidale
-40.233056,-8.177222,Cenostigma pyramidale
-40.2725,-8.406389,Cenostigma pyramidale
-38.331111,-8.7275,Cenostigma pyramidale
-37.639058,-8.232438,Cenostigma pyramidale
-37.873283,-8.364102,Cenostigma pyramidale
-39.216667,-10.316667,Cenostigma pyramidale
-37.783694,-8.335917,Cenostigma pyramidale
-39.216667,-10.216667,Cenostigma pyramidale
-39.079722,-7.925556,Cenostigma pyramidale
-37.353889,-8.061667,Cenostigma pyramidale
